Año,Semana,Ceco,FHW
2026,1,38209,0.2%
2026,1,38317,2.7%
2026,1,38489,0.2%
2026,1,38589,3.8%
2026,1,38843,1.4%
2026,1,38872,4.1%
2026,1,38950,0.4%
2026,1,38989,3.9%
2026,1,43029,0.1%
2026,1,38101,0.6%
2026,1,38240,0.2%
2026,1,38272,1.1%
2026,1,38285,0.4%
2026,1,38291,1.0%
2026,1,38389,3.8%
2026,1,38404,6.2%
2026,1,38422,4.4%
2026,1,38433,1.7%
2026,1,38555,1.6%
2026,1,38613,14.4%
2026,1,38654,4.4%
2026,1,38681,5.8%
2026,1,38183,0.6%
2026,1,38387,4.1%
2026,1,38577,0.1%
2026,1,38721,0.5%
2026,1,38732,0.5%
2026,1,38736,0.1%
2026,1,38813,0.1%
2026,1,38821,0.2%
2026,1,38857,2.5%
2026,1,43008,4.7%
2026,1,43124,0.2%
2026,1,38344,8.9%
2026,1,38635,12.7%
2026,1,38858,2.6%
2026,1,38109,5.0%
2026,1,38173,0.5%
2026,1,38378,3.3%
2026,1,38423,1.5%
2026,1,38432,4.5%
2026,1,38440,1.5%
2026,1,38483,5.5%
2026,1,38498,1.9%
2026,1,38504,3.4%
2026,1,38554,0.3%
2026,1,38556,2.0%
2026,1,38558,7.5%
2026,1,38602,4.3%
2026,1,38658,1.8%
2026,1,38752,3.3%
2026,1,38850,4.6%
2026,1,38113,4.9%
2026,1,38139,5.9%
2026,1,38152,12.6%
2026,1,38208,8.0%
2026,1,38239,5.6%
2026,1,38365,4.2%
2026,1,38417,5.6%
2026,1,38430,2.8%
2026,1,38484,15.0%
2026,1,38585,5.6%
2026,1,38620,2.0%
2026,1,38663,10.7%
2026,1,43025,7.1%
2026,1,38111,2.8%
2026,1,38118,6.1%
2026,1,38194,9.5%
2026,1,38219,0.9%
2026,1,38349,14.7%
2026,1,38399,3.8%
2026,1,38405,1.6%
2026,1,38470,5.5%
2026,1,38557,2.9%
2026,1,38581,6.1%
2026,1,38600,0.1%
2026,1,38612,4.4%
2026,1,38676,6.3%
2026,1,38982,7.9%
2026,1,38107,2.0%
2026,1,38116,6.1%
2026,1,38124,5.3%
2026,1,38129,5.5%
2026,1,38169,5.6%
2026,1,38398,7.2%
2026,1,38428,12.7%
2026,1,38447,4.5%
2026,1,38544,4.1%
2026,1,38571,6.3%
2026,1,38580,3.8%
2026,1,38615,4.6%
2026,1,38691,9.7%
2026,1,38226,11.2%
2026,1,38279,0.1%
2026,1,38289,7.6%
2026,1,38418,0.8%
2026,1,38419,1.1%
2026,1,38468,0.6%
2026,1,38477,0.9%
2026,1,38496,5.1%
2026,1,38611,10.5%
2026,1,38645,0.2%
2026,1,38725,2.8%
2026,1,43070,7.3%
2026,1,38131,3.4%
2026,1,38172,4.9%
2026,1,38402,2.1%
2026,1,38406,0.4%
2026,1,38543,5.5%
2026,1,38560,2.0%
2026,1,38605,5.3%
2026,1,38625,12.6%
2026,1,38771,0.1%
2026,1,38784,2.5%
2026,1,38791,0.1%
2026,1,38806,3.7%
2026,1,38866,0.7%
2026,1,38133,0.2%
2026,1,38190,0.2%
2026,1,38192,0.0%
2026,1,38280,0.2%
2026,1,38634,0.0%
2026,1,38638,0.2%
2026,1,38804,0.1%
2026,1,38949,0.1%
2026,1,43069,0.3%
2026,1,43074,0.4%
2026,1,43166,0.3%
2026,1,38146,1.8%
2026,1,38157,0.3%
2026,1,38519,0.3%
2026,1,38698,0.9%
2026,1,38761,1.0%
2026,1,38819,1.2%
2026,1,38831,0.3%
2026,1,38840,3.2%
2026,1,38897,3.8%
2026,1,43009,2.3%
2026,1,38114,5.6%
2026,1,38360,10.8%
2026,1,38367,3.3%
